keyLength        |encrypt(ms)      |decrypt(ms)      |

160              |28.00            |36.00            |
160              |28.00            |35.00            |
160              |29.00            |37.00            |
160              |28.00            |36.00            |
160              |28.00            |37.00            |
160              |30.00            |35.00            |
160              |28.00            |34.00            |
160              |28.00            |35.00            |
160              |28.00            |35.00            |
160              |29.00            |34.00            |
160              |28.00            |36.00            |
160              |30.00            |35.00            |
160              |30.00            |35.00            |
160              |30.00            |36.00            |
160              |28.00            |36.00            |
160              |29.00            |38.00            |
160              |30.00            |35.00            |
160              |28.00            |36.00            |
160              |28.00            |36.00            |
160              |29.00            |35.00            |
160              |28.00            |36.00            |
160              |29.00            |35.00            |
160              |29.00            |37.00            |
160              |30.00            |38.00            |
160              |28.00            |36.00            |
160              |30.00            |36.00            |
160              |28.00            |36.00            |
160              |31.00            |36.00            |
160              |30.00            |36.00            |
160              |29.00            |35.00            |
160              |29.00            |36.00            |
160              |30.00            |35.00            |
160              |30.00            |36.00            |
160              |29.00            |35.00            |
160              |29.00            |35.00            |
160              |28.00            |36.00            |
160              |29.00            |36.00            |
160              |30.00            |34.00            |
160              |29.00            |34.00            |
160              |29.00            |35.00            |
160              |28.00            |37.00            |
160              |29.00            |35.00            |
160              |29.00            |35.00            |
160              |28.00            |34.00            |
160              |29.00            |34.00            |
160              |28.00            |34.00            |
160              |29.00            |34.00            |
160              |30.00            |34.00            |
160              |28.00            |37.00            |
160              |29.00            |34.00            |
160              |27.00            |35.00            |
160              |28.00            |36.00            |
160              |28.00            |34.00            |
160              |28.00            |34.00            |
160              |30.00            |34.00            |
160              |30.00            |36.00            |
160              |29.00            |35.00            |
160              |28.00            |36.00            |
160              |29.00            |36.00            |
160              |27.00            |37.00            |
160              |29.00            |35.00            |
160              |28.00            |35.00            |
160              |29.00            |34.00            |
160              |29.00            |36.00            |
160              |28.00            |34.00            |
160              |29.00            |36.00            |
160              |28.00            |36.00            |
160              |28.00            |34.00            |
160              |29.00            |34.00            |
160              |28.00            |35.00            |
160              |29.00            |35.00            |
160              |29.00            |34.00            |
160              |30.00            |35.00            |
160              |29.00            |35.00            |
160              |30.00            |36.00            |
160              |29.00            |36.00            |
160              |28.00            |34.00            |
160              |29.00            |35.00            |
160              |29.00            |36.00            |
160              |30.00            |35.00            |
160              |30.00            |35.00            |
160              |30.00            |36.00            |
160              |28.00            |35.00            |
160              |30.00            |35.00            |
160              |29.00            |35.00            |
160              |28.00            |34.00            |
160              |29.00            |35.00            |
160              |29.00            |34.00            |
160              |28.00            |36.00            |
160              |28.00            |35.00            |
160              |29.00            |36.00            |
160              |29.00            |35.00            |
160              |29.00            |35.00            |
160              |29.00            |36.00            |
160              |29.00            |36.00            |
160              |29.00            |34.00            |
160              |28.00            |35.00            |
160              |27.00            |34.00            |
160              |29.00            |36.00            |
160              |29.00            |35.00            |
160              |29.00            |35.00            |
160              |29.00            |35.00            |
160              |29.00            |36.00            |
160              |29.00            |34.00            |
160              |29.00            |34.00            |
160              |28.00            |36.00            |
160              |29.00            |36.00            |
160              |30.00            |34.00            |
160              |30.00            |36.00            |
160              |30.00            |36.00            |
160              |28.00            |34.00            |
160              |29.00            |35.00            |
160              |29.00            |34.00            |
160              |28.00            |36.00            |
160              |30.00            |36.00            |
160              |29.00            |37.00            |
160              |29.00            |36.00            |
160              |28.00            |35.00            |
160              |28.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |33.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |33.00            |
160              |27.00            |34.00            |
160              |27.00            |33.00            |
160              |27.00            |33.00            |
160              |27.00            |33.00            |
160              |28.00            |34.00            |
160              |28.00            |34.00            |
160              |28.00            |33.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |33.00            |
160              |28.00            |34.00            |
160              |28.00            |34.00            |
160              |28.00            |33.00            |
160              |28.00            |34.00            |
160              |28.00            |34.00            |
160              |27.00            |34.00            |
160              |28.00            |34.00            |
160              |27.00            |34.00            |
160              |28.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |28.00            |33.00            |
160              |28.00            |34.00            |
160              |28.00            |34.00            |
160              |27.00            |34.00            |
160              |28.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |33.00            |
160              |27.00            |33.00            |
160              |27.00            |34.00            |
160              |27.00            |33.00            |
160              |28.00            |34.00            |
160              |28.00            |35.00            |
160              |28.00            |34.00            |
160              |27.00            |33.00            |
160              |27.00            |33.00            |
160              |28.00            |33.00            |
160              |27.00            |33.00            |
160              |27.00            |33.00            |
160              |27.00            |34.00            |
160              |28.00            |35.00            |
160              |28.00            |34.00            |
160              |28.00            |34.00            |
160              |27.00            |34.00            |
160              |28.00            |35.00            |
160              |28.00            |33.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |33.00            |
160              |28.00            |34.00            |
160              |27.00            |34.00            |
160              |27.00            |34.00            |
160              |28.00            |34.00            |
160              |27.00            |33.00            |
160              |28.00            |34.00            |
160              |28.00            |35.00            |
160              |29.00            |35.00            |
160              |29.00            |37.00            |
160              |29.00            |34.00            |
160              |29.00            |37.00            |
160              |28.00            |35.00            |
160              |29.00            |34.00            |
160              |28.00            |36.00            |
160              |28.00            |34.00            |
160              |28.00            |34.00            |
160              |28.00            |35.00            |
160              |29.00            |34.00            |
160              |28.00            |35.00            |
160              |27.00            |34.00            |
160              |28.00            |34.00            |
160              |29.00            |35.00            |
160              |29.00            |35.00            |
224              |56.00            |66.00            |
224              |58.00            |66.00            |
224              |57.00            |67.00            |
224              |56.00            |65.00            |
224              |56.00            |66.00            |
224              |57.00            |69.00            |
224              |57.00            |65.00            |
224              |56.00            |70.00            |
224              |54.00            |67.00            |
224              |55.00            |67.00            |
224              |56.00            |66.00            |
224              |56.00            |67.00            |
224              |57.00            |69.00            |
224              |57.00            |65.00            |
224              |57.00            |65.00            |
224              |57.00            |67.00            |
224              |55.00            |68.00            |
224              |55.00            |68.00            |
224              |57.00            |69.00            |
224              |57.00            |66.00            |
224              |59.00            |68.00            |
224              |56.00            |66.00            |
224              |56.00            |69.00            |
224              |55.00            |67.00            |
224              |57.00            |66.00            |
224              |56.00            |67.00            |
224              |56.00            |68.00            |
224              |56.00            |65.00            |
224              |57.00            |67.00            |
224              |56.00            |67.00            |
224              |56.00            |64.00            |
224              |57.00            |67.00            |
224              |55.00            |66.00            |
224              |57.00            |67.00            |
224              |55.00            |67.00            |
224              |55.00            |67.00            |
224              |58.00            |66.00            |
224              |57.00            |66.00            |
224              |57.00            |67.00            |
224              |56.00            |66.00            |
224              |55.00            |66.00            |
224              |56.00            |68.00            |
224              |58.00            |66.00            |
224              |55.00            |68.00            |
224              |58.00            |68.00            |
224              |56.00            |67.00            |
224              |55.00            |67.00            |
224              |56.00            |67.00            |
224              |56.00            |68.00            |
224              |55.00            |66.00            |
224              |58.00            |66.00            |
224              |57.00            |67.00            |
224              |58.00            |66.00            |
224              |57.00            |66.00            |
224              |56.00            |65.00            |
224              |55.00            |66.00            |
224              |55.00            |68.00            |
224              |55.00            |66.00            |
224              |56.00            |66.00            |
224              |56.00            |67.00            |
224              |58.00            |66.00            |
224              |56.00            |67.00            |
224              |58.00            |67.00            |
224              |56.00            |67.00            |
224              |56.00            |66.00            |
224              |57.00            |68.00            |
224              |56.00            |68.00            |
224              |57.00            |66.00            |
224              |58.00            |65.00            |
224              |57.00            |66.00            |
224              |56.00            |69.00            |
224              |57.00            |66.00            |
224              |56.00            |67.00            |
224              |56.00            |68.00            |
224              |56.00            |68.00            |
224              |58.00            |68.00            |
224              |57.00            |65.00            |
224              |56.00            |69.00            |
224              |55.00            |68.00            |
224              |57.00            |67.00            |
224              |56.00            |67.00            |
224              |56.00            |66.00            |
224              |55.00            |66.00            |
224              |56.00            |68.00            |
224              |55.00            |66.00            |
224              |55.00            |68.00            |
224              |57.00            |69.00            |
224              |56.00            |67.00            |
224              |57.00            |67.00            |
224              |55.00            |67.00            |
224              |57.00            |68.00            |
224              |55.00            |68.00            |
224              |57.00            |66.00            |
224              |58.00            |64.00            |
224              |56.00            |67.00            |
224              |56.00            |66.00            |
224              |55.00            |67.00            |
224              |55.00            |67.00            |
224              |57.00            |66.00            |
224              |57.00            |67.00            |
224              |55.00            |67.00            |
224              |56.00            |68.00            |
224              |55.00            |66.00            |
224              |56.00            |66.00            |
