keyLength        |encrypt(ms)      |decrypt(ms)      |

160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |3596.00          |
160              |5.00             |3.00             |
160              |14.00            |2.00             |
160              |5.00             |3.00             |
160              |6.00             |3.00             |
160              |5.00             |37.00            |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |2.00             |
160              |5.00             |3596.00          |
224              |20.00            |5.00             |
224              |10.00            |5.00             |
224              |2861.00          |6.00             |
224              |11.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |11.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
224              |10.00            |5.00             |
